train_size,best_epoch,best_val_dice,best_val_iou
50,15,0.5104325110912323,0.362081818819046
100,15,0.5764657573699952,0.41060630106925966
250,15,0.8246,0.7081
500,9,0.8707409181594848,0.7751709389686584
